scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20220725_185511_20_248e,2022-07-25T18:55:11.206340Z,-125.277297,48.85254,17.8,21.8,21.8,0.9857,1.23,0,4.264,B,24.66,12-24m,0.7678,17.8,33,1,1
20220725_185511_20_248e,2022-07-25T18:55:11.206340Z,-125.255521,48.827094,43.6,53.8,53.8,0.9849,1.23,0,2.202,B,24.39,>24m,0.6364,43.6,166,1,1
20210824_181728_61_1067,2021-08-24T18:17:28.610209Z,-125.223864,48.823992,19.7,21.9,21.9,0.9848,1.11,0,4.142,B,24.37,12-24m,0.7075,19.7,34,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.240997,48.848642,33.0,120.0,120.0,0.9846,3.64,1,4.708,B,24.28,>24m,0.6409,33.0,282,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.341236,48.841151,12.0,18.0,18.0,0.9846,1.5,0,5.509,B,24.28,12-24m,0.75,12.0,18,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.322907,48.846845,12.0,18.0,18.0,0.9844,1.5,0,4.89,B,24.24,12-24m,0.7083,12.0,17,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.22256,48.83209,11.5,13.6,13.6,0.9841,1.18,0,4.549,B,24.13,12-24m,0.6911,11.5,12,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.320105,48.850928,12.0,15.0,15.0,0.9836,1.25,0,5.11,B,23.97,12-24m,0.9,12.0,18,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.312793,48.850699,27.0,54.0,54.0,0.9836,2.0,0,4.785,B,23.97,>24m,0.716,27.0,116,1,1
20220725_185511_20_248e,2022-07-25T18:55:11.206340Z,-125.227558,48.828135,12.0,12.0,12.0,0.9835,1.0,0,4.034,B,23.94,12-24m,0.8125,12.0,13,1,1
20230606_182515_18_245c,2023-06-06T18:25:15.188284Z,-125.33029,48.846358,25.6,91.0,91.0,0.9834,3.56,1,5.232,B,23.91,>24m,0.6615,25.6,171,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.317146,48.850789,22.6,29.2,29.2,0.9833,1.29,0,4.97,B,23.88,>24m,0.6671,22.6,49,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.238276,48.851354,47.0,117.9,117.9,0.9833,2.51,1,5.069,B,23.88,>24m,0.4939,47.0,304,1,1
