id,acq_time_utc,date,year,instrument,aoi_clear,glint_angle,cloud_cover,sun_elevation,view_angle,hydrophone_gap_free,hours_to_nearest_outage,ordered_in,order_id,delivered_before_this_order,has_visual,visual_order_id,sr_file,udm2_file,visual_file
20220726_185457_24_2490,2022-07-26T18:54:57.246800Z,2022-07-26,2022,PSB.SD,1.0,35.6840368806407,0.0,55.2,1.0,True,277.0,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20220726_185457_24_2490_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20220726_185457_24_2490_3B_udm2_clip.tif,
20220816_182157_60_2457,2022-08-16T18:21:57.609790Z,2022-08-16,2022,PSB.SD,1.0,39.63918095412888,0.01,46.3,5.0,True,146.2,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20220816_182157_60_2457_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20220816_182157_60_2457_3B_udm2_clip.tif,
20230606_182515_18_245c,2023-06-06T18:25:15.188284Z,2023-06-06,2023,PSB.SD,1.0,30.408204044918747,0.0,55.2,5.1,True,1972.5,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230606_182515_18_245c_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230606_182515_18_245c_3B_udm2_clip.tif,
20230617_185923_93_247a,2023-06-17T18:59:23.933539Z,2023-06-17,2023,PSB.SD,0.9901046615399391,34.080603861555275,0.04,60.0,5.0,True,1707.9,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230617_185923_93_247a_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230617_185923_93_247a_3B_udm2_clip.tif,
20230702_182116_85_242b,2023-07-02T18:21:16.852028Z,2023-07-02,2023,PSB.SD,1.0,33.31613937896724,0.0,54.3,2.7,True,1348.6,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230702_182116_85_242b_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230702_182116_85_242b_3B_udm2_clip.tif,
20230714_182421_54_24b6,2023-07-14T18:24:21.547996Z,2023-07-14,2023,PSB.SD,1.0,41.04520172490462,0.0,53.9,5.4,True,1060.5,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230714_182421_54_24b6_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230714_182421_54_24b6_3B_udm2_clip.tif,
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,2023-07-19,2023,PSB.SD,1.0,39.01754280299284,0.0,52.4,1.5,True,940.6,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230719_182055_22_2449_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20230719_182055_22_2449_3B_udm2_clip.tif,
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,2023-08-15,2023,PSB.SD,1.0,45.27313077207028,0.0,47.7,3.4,True,292.5,folger_probe,f26277af-4084-48ab-ab0d-3626ab9d7732,True,False,,folger_probe_20230815_182609_80_24c8/f26277af-4084-48ab-ab0d-3626ab9d7732/PSScene/20230815_182609_80_24c8_3B_AnalyticMS_SR_clip.tif,folger_probe_20230815_182609_80_24c8/f26277af-4084-48ab-ab0d-3626ab9d7732/PSScene/20230815_182609_80_24c8_3B_udm2_clip.tif,
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,2024-07-12,2024,PSB.SD,0.9999461562847656,26.569613919270378,0.0,61.2,4.4,True,6961.5,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240712_193845_41_2438_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240712_193845_41_2438_3B_udm2_clip.tif,
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,2024-07-13,2024,PSB.SD,0.9999557164754104,38.35662761538608,0.0,56.2,4.8,True,6984.5,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240713_184228_20_2415_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240713_184228_20_2415_3B_udm2_clip.tif,
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,2024-08-01,2024,PSB.SD,0.996072926216523,31.81085206180946,0.0,56.6,2.9,True,7441.3,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240801_192823_14_24ee_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240801_192823_14_24ee_3B_udm2_clip.tif,
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,2024-08-27,2024,PSB.SD,1.0,38.38281472870637,0.0,49.9,4.6,True,8065.6,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240827_194346_64_2461_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20240827_194346_64_2461_3B_udm2_clip.tif,
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,2025-06-30,2025,PSB.SD,1.0,28.50817357854584,0.0,62.8,2.0,True,15433.5,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,True,31141b03-1293-485e-bcd0-9ae92e72ac73,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20250630_193824_56_24db_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20250630_193824_56_24db_3B_udm2_clip.tif,folger_202608_visual/31141b03-1293-485e-bcd0-9ae92e72ac73/PSScene/20250630_193824_56_24db_3B_Visual_clip.tif
20250808_194820_59_2539,2025-08-08T19:48:20.590007Z,2025-08-08,2025,PSB.SD,0.9854391081244034,32.28399345134604,0.26,56.1,4.0,True,16369.6,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20250808_194820_59_2539_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20250808_194820_59_2539_3B_udm2_clip.tif,
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,2025-08-25,2025,PSB.SD,0.9996316620887484,40.208488399452925,0.0,50.7,1.6,True,16777.5,folger_202608,0c92a187-2cc2-4822-a2c7-27df2ea4b532,False,False,,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20250825_193929_84_251f_3B_AnalyticMS_SR_clip.tif,folger_202608/0c92a187-2cc2-4822-a2c7-27df2ea4b532/PSScene/20250825_193929_84_251f_3B_udm2_clip.tif,
