scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,n_years_at_cell,transient
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.262437,48.823257,44.4,59.1,59.1,0.099,1.33,0,1.536,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.240896,48.835182,30.5,44.5,44.5,0.0921,1.46,0,3.596,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.298951,48.847371,68.0,74.0,74.0,0.0906,1.09,0,3.987,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.261085,48.82659,24.7,34.6,34.6,0.0891,1.4,0,1.866,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.339982,48.790067,25.2,19.3,25.2,0.0864,1.3,0,5.256,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.25369,48.805488,23.7,28.9,28.9,0.0854,1.22,0,2.045,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.313825,48.8589,33.9,31.1,33.9,0.0745,1.09,0,5.61,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.217266,48.797639,23.0,47.3,47.3,0.073,2.06,0,4.833,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.310448,48.808287,22.2,24.0,24.0,0.0727,1.08,0,2.446,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.339159,48.811917,28.3,34.9,34.9,0.0645,1.23,0,4.465,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.328794,48.790287,29.7,20.8,29.7,0.061,1.43,0,4.556,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.298444,48.847387,21.5,63.5,63.5,0.061,2.95,1,3.974,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.244476,48.832567,15.6,28.9,28.9,0.0608,1.85,0,3.208,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.344811,48.854856,87.7,77.6,87.7,0.0605,1.13,0,6.645,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.227912,48.817411,122.8,99.8,122.8,0.0601,1.23,0,3.705,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.278658,48.85907,21.4,12.6,21.4,0.06,1.7,0,4.989,A,,12-24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.319447,48.858966,50.9,28.8,50.9,0.0583,1.77,0,5.819,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.314648,48.834246,87.4,81.5,87.4,0.0582,1.07,0,3.473,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.223636,48.827807,15.5,19.0,19.0,0.0552,1.22,0,4.277,A,,12-24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.228011,48.816285,25.1,31.9,31.9,0.0547,1.27,0,3.688,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.32805,48.857169,74.7,108.4,108.4,0.0547,1.45,0,6.008,A,,>24m,3,0
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.217059,48.80042,41.3,47.9,47.9,0.0532,1.16,0,4.738,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.213302,48.82453,22.8,27.4,27.4,0.0522,1.2,0,4.894,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.322732,48.802733,28.8,39.2,39.2,0.0519,1.36,0,3.496,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.309117,48.800092,25.5,29.1,29.1,0.0501,1.14,0,2.75,A,,>24m,1,1
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.313649,48.777207,21.9,31.5,31.5,0.05,1.44,0,4.861,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.331828,48.854803,34.0,62.3,62.3,0.3236,1.83,0,5.979,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.222603,48.837749,39.0,43.5,43.5,0.148,1.11,0,4.844,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.331581,48.856143,25.6,29.3,29.3,0.1473,1.14,0,6.081,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.253693,48.835126,31.6,72.9,72.9,0.1351,2.3,0,2.942,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.224436,48.841558,33.9,36.2,36.2,0.0984,1.07,0,4.979,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.218891,48.829137,26.7,37.9,37.9,0.0798,1.42,0,4.654,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.25368,48.834225,27.5,32.8,32.8,0.0744,1.2,0,2.864,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.222631,48.838759,33.1,49.2,49.2,0.0657,1.49,0,4.904,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.244662,48.845919,75.6,119.7,119.7,0.0568,1.58,0,4.301,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.22312,48.836975,34.6,44.2,44.2,0.0502,1.28,0,4.766,A,,>24m,1,1
20240712_193845_41_2438,2024-07-12T19:38:45.411029Z,-125.234608,48.821771,19.5,22.2,22.2,0.0501,1.14,0,3.306,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.225819,48.816894,33.3,29.5,33.3,0.6743,1.13,0,3.853,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.226998,48.817607,23.8,24.7,24.7,0.661,1.04,0,3.774,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.23554,48.817216,29.0,38.0,38.0,0.6507,1.31,0,3.147,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.253258,48.837347,112.8,64.7,112.8,0.6449,1.74,0,3.159,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.237961,48.815194,26.7,30.3,30.3,0.6376,1.13,0,2.954,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.246267,48.798253,36.4,70.6,70.6,0.6363,1.94,0,2.939,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.311904,48.855862,23.7,25.7,25.7,0.6263,1.09,0,5.246,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.23683,48.82852,103.7,60.0,103.7,0.6138,1.73,0,3.427,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.228413,48.794839,26.9,20.9,26.9,0.6089,1.29,0,4.239,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.308244,48.856048,25.6,22.8,25.6,0.6072,1.12,0,5.144,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.227515,48.825884,24.6,26.3,26.3,0.6011,1.07,0,3.937,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.318485,48.849816,31.7,22.2,31.7,0.5868,1.43,0,4.934,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.314568,48.850769,23.2,24.5,24.5,0.5866,1.06,0,4.857,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.266262,48.847963,56.9,112.6,112.6,0.5857,1.98,0,3.856,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.227338,48.825361,25.1,30.8,30.8,0.5839,1.23,0,3.931,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.228622,48.794628,21.9,20.6,21.9,0.5639,1.07,0,4.238,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.312768,48.85515,22.6,26.0,26.0,0.5484,1.15,0,5.206,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.339571,48.85175,23.6,22.9,23.6,0.543,1.03,0,6.129,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.30802,48.858511,23.7,30.6,30.6,0.5404,1.29,0,5.387,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.294494,48.813363,26.6,37.4,37.4,0.5399,1.4,0,1.191,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.268979,48.850461,65.4,85.8,85.8,0.5021,1.31,0,4.089,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.238796,48.829412,27.2,32.5,32.5,0.4884,1.2,0,3.349,A,,>24m,6,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.26541,48.851447,65.6,106.5,106.5,0.4843,1.63,0,4.247,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.22507,48.820377,21.1,21.9,21.9,0.4673,1.04,0,3.956,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.307586,48.857569,27.5,29.6,29.6,0.452,1.08,0,5.278,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.309911,48.85825,23.1,24.3,24.3,0.4465,1.05,0,5.418,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.311963,48.856472,22.2,27.0,27.0,0.4462,1.21,0,5.308,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.265271,48.841974,27.3,33.2,33.2,0.4394,1.21,0,3.232,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.312309,48.855014,23.3,24.1,24.1,0.437,1.04,0,5.177,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.254201,48.858887,55.3,53.1,55.3,0.428,1.04,0,5.272,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.22872,48.794874,24.0,20.1,24.0,0.4263,1.2,0,4.218,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.228065,48.823729,24.4,27.5,27.5,0.4138,1.13,0,3.826,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.326669,48.815464,31.2,71.4,71.4,0.4098,2.29,0,3.546,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.256028,48.836571,49.6,35.3,49.6,0.4073,1.41,0,2.973,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.282631,48.84029,24.7,36.1,36.1,0.3977,1.46,0,2.919,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.234585,48.823932,30.0,53.9,53.9,0.3798,1.8,0,3.377,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.303454,48.853962,47.8,47.1,47.8,0.3615,1.02,0,4.79,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.280788,48.841498,29.4,36.5,36.5,0.3509,1.24,0,3.041,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.328644,48.844274,30.5,29.9,30.5,0.3458,1.02,0,4.978,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.309062,48.858552,26.9,28.0,28.0,0.3392,1.04,0,5.422,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.282487,48.839594,37.5,81.6,81.6,0.3338,2.18,0,2.84,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.212231,48.817956,21.1,24.5,24.5,0.3274,1.16,0,4.854,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.290568,48.813107,23.9,55.2,55.2,0.3025,2.31,0,0.908,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.242793,48.832221,22.7,22.7,22.7,0.291,1.0,0,3.281,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.29037,48.804778,42.6,42.7,42.7,0.2907,1.0,0,1.372,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.328148,48.845013,25.0,25.2,25.2,0.2804,1.01,0,5.007,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.276782,48.843501,47.8,51.8,51.8,0.2775,1.08,0,3.26,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.277263,48.843042,22.2,22.1,22.2,0.2633,1.0,0,3.208,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.238624,48.829825,33.0,31.8,33.0,0.258,1.04,0,3.383,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.234918,48.821935,25.5,23.4,25.5,0.2567,1.09,0,3.289,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.340268,48.848087,24.7,30.1,30.1,0.25,1.22,0,5.898,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.25433,48.837294,24.4,23.9,24.4,0.2457,1.02,0,3.109,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.266049,48.848103,24.5,90.4,90.4,0.2454,3.7,1,3.875,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.229889,48.794945,24.4,23.6,24.4,0.2321,1.03,0,4.14,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.334378,48.853565,34.5,32.2,34.5,0.2262,1.07,0,6.002,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.246023,48.830111,19.9,18.3,19.9,0.2156,1.09,0,2.951,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.251276,48.797709,24.1,40.1,40.1,0.1978,1.66,0,2.697,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.336553,48.850292,27.6,36.0,36.0,0.1797,1.31,0,5.857,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.227691,48.7949,28.9,21.4,28.9,0.1708,1.35,0,4.281,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.212528,48.798767,92.2,54.1,92.2,0.1663,1.71,0,5.112,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.276703,48.843621,63.0,81.3,81.3,0.1662,1.29,0,3.273,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.244776,48.832306,31.9,25.9,31.9,0.1615,1.23,0,3.173,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.323412,48.831685,52.7,30.6,52.7,0.1593,1.72,0,3.834,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.221373,48.798412,52.3,31.4,52.3,0.1565,1.67,0,4.522,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.266267,48.849792,57.9,116.5,116.5,0.148,2.01,0,4.054,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.336292,48.850989,48.0,88.4,88.4,0.1472,1.84,0,5.896,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.244228,48.83036,24.1,21.9,24.1,0.1396,1.1,0,3.073,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.219804,48.828341,22.5,24.0,24.0,0.1393,1.07,0,4.561,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.283887,48.837041,32.1,42.4,42.4,0.137,1.32,0,2.573,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.229197,48.794473,25.8,21.9,25.8,0.1339,1.18,0,4.211,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.228782,48.82677,22.2,23.9,23.9,0.12,1.08,0,3.884,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.254593,48.837021,27.4,25.2,27.4,0.1171,1.09,0,3.073,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.312946,48.856182,22.1,23.3,23.3,0.1153,1.05,0,5.313,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.288042,48.787983,34.9,49.6,49.6,0.1123,1.42,0,3.002,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.298674,48.854919,33.1,42.9,42.9,0.1037,1.3,0,4.768,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.264062,48.853486,33.0,50.7,50.7,0.0991,1.54,0,4.491,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.288257,48.808242,26.6,35.8,35.8,0.0946,1.34,0,0.986,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.300733,48.854638,46.5,27.5,46.5,0.0922,1.69,0,4.787,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.268237,48.843328,25.2,50.5,50.5,0.0889,2.0,0,3.321,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.313919,48.852182,26.3,28.9,28.9,0.0827,1.1,0,4.964,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.243851,48.830575,26.2,26.3,26.3,0.0822,1.0,0,3.109,A,,>24m,3,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.242482,48.829435,71.2,45.2,71.2,0.0819,1.57,0,3.12,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.218575,48.833611,16.3,58.3,58.3,0.0735,3.58,1,4.875,A,,>24m,5,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.232284,48.786634,22.6,24.6,24.6,0.0718,1.09,0,4.555,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.226361,48.792323,19.5,23.4,23.4,0.0708,1.2,0,4.514,A,,12-24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.2675,48.782311,21.8,26.1,26.1,0.0673,1.2,0,3.633,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.290382,48.804861,47.5,82.9,82.9,0.067,1.75,0,1.365,A,,>24m,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.334896,48.854167,31.4,36.2,36.2,0.063,1.15,0,6.077,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.223973,48.786944,21.1,30.7,30.7,0.0626,1.46,0,5.0,A,,>24m,2,0
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.28874,48.798754,60.2,130.8,130.8,0.0516,2.17,0,1.881,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.31087,48.850191,25.8,24.8,25.8,0.6474,1.04,0,4.659,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.225776,48.82818,22.2,25.4,25.4,0.6081,1.14,0,4.146,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.231091,48.783572,28.8,32.6,32.6,0.5984,1.13,0,4.852,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.3338,48.840868,27.4,30.1,30.1,0.5969,1.1,0,5.031,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.3153,48.849244,26.8,22.7,26.8,0.5516,1.18,0,4.746,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.317788,48.849823,34.6,29.3,34.6,0.5331,1.18,0,4.905,A,,>24m,2,0
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.218006,48.796726,22.2,21.2,22.2,0.5313,1.05,0,4.823,A,,12-24m,2,0
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.249409,48.795398,27.2,26.5,27.2,0.5208,1.03,0,2.973,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.216904,48.796317,28.6,24.3,28.6,0.519,1.18,0,4.915,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.314229,48.848316,23.5,24.7,24.7,0.485,1.05,0,4.617,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.211018,48.798378,32.0,26.9,32.0,0.462,1.19,0,5.23,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.213036,48.797909,27.0,26.5,27.0,0.4392,1.02,0,5.11,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.211469,48.776227,27.0,27.3,27.3,0.4102,1.01,0,6.464,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.31984,48.84658,25.6,26.0,26.0,0.3943,1.02,0,4.714,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.260097,48.823471,32.8,29.4,32.8,0.3531,1.12,0,1.684,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.310654,48.853476,31.5,29.0,31.5,0.3316,1.09,0,4.969,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.262399,48.823864,31.6,31.0,31.6,0.3314,1.02,0,1.583,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.313925,48.849107,27.0,25.0,27.0,0.324,1.08,0,4.677,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.313732,48.849797,27.8,24.3,27.8,0.3072,1.15,0,4.733,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.22224,48.780431,22.6,23.4,23.4,0.3057,1.04,0,5.563,A,,12-24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.260266,48.823494,57.6,36.7,57.6,0.273,1.57,0,1.675,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.322581,48.842182,26.7,35.7,35.7,0.2563,1.34,0,4.494,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.321477,48.85498,24.3,30.0,30.0,0.2486,1.24,0,5.528,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.31108,48.85642,27.3,23.9,27.3,0.2411,1.14,0,5.273,A,,>24m,2,0
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.219473,48.795776,23.0,21.2,23.0,0.2179,1.09,0,4.769,A,,12-24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.323487,48.844075,17.9,21.7,21.7,0.2134,1.21,0,4.689,A,,12-24m,2,0
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.328743,48.84519,36.2,102.5,102.5,0.2,2.83,1,5.052,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.32297,48.846325,20.0,19.2,20.0,0.1656,1.04,0,4.844,A,,12-24m,2,0
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.239204,48.813516,50.8,64.1,64.1,0.1402,1.26,0,2.862,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.326902,48.843898,24.3,68.3,68.3,0.0944,2.81,1,4.855,A,,>24m,1,1
20240801_192823_14_24ee,2024-08-01T19:28:23.145363Z,-125.313437,48.849371,22.0,25.7,25.7,0.0751,1.17,0,4.682,A,,>24m,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.226684,48.820571,146.3,103.8,146.3,0.1816,1.41,0,3.843,A,,>24m,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.221457,48.789713,114.0,72.5,114.0,0.1672,1.57,0,4.973,A,,>24m,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.304014,48.853151,22.3,21.7,22.3,0.1526,1.03,0,4.723,A,,12-24m,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.230193,48.790417,34.7,26.8,34.7,0.0714,1.29,0,4.404,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.31186,48.854995,26.3,26.1,26.3,0.4661,1.0,0,5.159,A,,>24m,2,0
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.334349,48.853668,30.8,37.9,37.9,0.4605,1.23,0,6.009,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.212885,48.837347,30.0,27.6,30.0,0.4519,1.08,0,5.435,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.31191,48.855401,28.1,24.8,28.1,0.4477,1.13,0,5.201,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.310091,48.852739,25.6,28.1,28.1,0.3085,1.1,0,4.877,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.312401,48.855462,24.8,25.4,25.4,0.2577,1.02,0,5.224,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.313977,48.853476,27.3,31.2,31.2,0.2356,1.14,0,5.089,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.21917,48.832696,104.7,111.3,111.3,0.163,1.06,0,4.791,A,,>24m,2,0
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.313471,48.853585,26.3,24.5,26.3,0.1606,1.07,0,5.081,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.310805,48.856869,33.3,30.6,33.3,0.0864,1.09,0,5.308,A,,>24m,1,1
20250630_193824_56_24db,2025-06-30T19:38:24.564594Z,-125.331561,48.854017,53.8,56.5,56.5,0.0646,1.05,0,5.9,A,,>24m,1,1
20250808_194820_59_2539,2025-08-08T19:48:20.590007Z,-125.341015,48.844451,26.3,23.9,26.3,0.6307,1.1,0,5.693,A,,>24m,1,1
20250808_194820_59_2539,2025-08-08T19:48:20.590007Z,-125.323984,48.848873,30.1,28.2,30.1,0.6245,1.07,0,5.105,A,,>24m,1,1
