scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210511,48.807569,6.0,6.0,6.0,0.601,1.0,0,5.032,B,6.95,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.227167,48.807221,3.0,7.2,7.2,0.542,2.41,0,3.833,B,6.07,0-12m,0.8284,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215573,48.807458,3.0,6.0,6.0,0.6053,2.0,0,4.666,B,7.01,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214509,48.807425,5.1,9.4,9.4,0.6096,1.83,0,4.744,B,7.08,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214272,48.807447,5.1,7.2,7.2,0.5835,1.41,0,4.761,B,6.68,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213327,48.807502,3.0,6.0,6.0,0.5654,2.0,0,4.828,B,6.41,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213122,48.807465,6.0,6.0,6.0,0.6541,1.0,0,4.844,B,7.82,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211757,48.80746,7.2,17.8,17.8,0.618,2.46,0,4.943,B,7.22,12-24m,0.6266,7.2,9,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211378,48.80741,19.6,37.9,37.9,0.7827,1.93,0,4.971,B,10.52,>24m,0.4468,19.6,37,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211245,48.807542,3.0,6.0,6.0,0.5562,2.0,0,4.979,B,6.27,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210611,48.807516,6.8,12.5,12.5,0.6655,1.84,0,5.025,B,8.03,12-24m,0.5304,6.8,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210313,48.80755,5.1,7.2,7.2,0.673,1.41,0,5.046,B,8.16,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.22547,48.807173,3.0,6.0,6.0,0.5879,2.0,0,3.957,B,6.74,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.222593,48.807269,3.0,6.0,6.0,0.579,2.0,0,4.162,B,6.61,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218836,48.807315,5.1,9.4,9.4,0.6384,1.83,0,4.433,B,7.55,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218019,48.80733,3.0,6.0,6.0,0.5608,2.0,0,4.491,B,6.34,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217418,48.807326,5.1,13.6,13.6,0.5654,2.66,1,4.535,B,6.41,12-24m,0.6458,5.1,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216691,48.80732,9.0,12.0,12.0,0.6053,1.33,0,4.588,B,7.01,12-24m,0.75,9.0,9,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215103,48.807349,9.0,12.0,12.0,0.6138,1.33,0,4.702,B,7.15,12-24m,0.6667,9.0,8,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213466,48.807404,3.0,6.0,6.0,0.5608,2.0,0,4.82,B,6.34,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212919,48.807407,5.1,13.6,13.6,0.5967,2.66,1,4.86,B,6.88,12-24m,0.6458,5.1,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21083,48.807314,16.0,37.5,37.5,0.7014,2.34,0,5.013,B,8.7,>24m,0.3897,16.0,26,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.233918,48.806956,3.0,6.0,6.0,0.673,2.0,0,3.356,B,8.16,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.228857,48.807081,3.0,6.0,6.0,0.6839,2.0,0,3.715,B,8.36,0-12m,1.0,3.0,2,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.219344,48.807264,3.0,6.0,6.0,0.542,2.0,0,4.397,B,6.07,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218093,48.807243,6.0,9.0,9.0,0.6502,1.5,0,4.488,B,7.76,0-12m,0.8333,6.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214322,48.807361,5.1,9.4,9.4,0.579,1.83,0,4.759,B,6.61,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212539,48.807373,5.1,7.2,7.2,0.691,1.41,0,4.888,B,8.5,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211056,48.807424,3.0,6.0,6.0,0.5923,2.0,0,4.994,B,6.81,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210642,48.807362,11.5,20.0,20.0,0.618,1.74,0,5.026,B,7.22,12-24m,0.5493,11.5,14,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21828,48.807231,3.0,6.0,6.0,0.6138,2.0,0,4.474,B,7.15,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217047,48.807236,7.0,11.0,11.0,0.5654,1.57,0,4.563,B,6.41,0-12m,0.5797,7.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215475,48.807249,6.0,15.0,15.0,0.6384,2.5,1,4.677,B,7.55,12-24m,0.6,6.0,6,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213687,48.807306,3.0,6.0,6.0,0.5879,2.0,0,4.806,B,6.74,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212094,48.807336,5.1,9.4,9.4,0.6502,1.83,0,4.921,B,7.76,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21036,48.807379,4.3,9.7,9.7,0.5654,2.24,0,5.046,B,6.41,0-12m,0.6406,4.3,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217982,48.807148,5.5,13.8,13.8,0.601,2.51,1,4.497,B,6.95,12-24m,0.5926,5.5,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215836,48.80717,4.9,12.5,12.5,0.5879,2.55,1,4.652,B,6.74,12-24m,0.5887,4.9,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214114,48.807257,3.0,6.0,6.0,0.5745,2.0,0,4.776,B,6.54,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212979,48.807282,6.0,9.0,9.0,0.6262,1.5,0,4.857,B,7.35,0-12m,0.8333,6.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211523,48.80723,10.6,16.3,16.3,0.6221,1.54,0,4.964,B,7.28,12-24m,0.5742,10.6,11,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211048,48.807194,15.0,36.0,36.0,0.7463,2.4,0,4.999,B,9.65,>24m,0.3667,15.0,22,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.22728,48.806898,5.7,12.4,12.4,0.6053,2.18,0,3.833,B,7.01,12-24m,0.639,5.7,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.226971,48.806928,3.0,6.0,6.0,0.6803,2.0,0,3.854,B,8.3,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.224317,48.806993,3.0,9.0,9.0,0.6138,3.0,1,4.043,B,7.15,0-12m,1.0,3.0,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218215,48.807138,3.0,6.0,6.0,0.6138,2.0,0,4.481,B,7.15,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217744,48.80712,3.0,9.0,9.0,0.6138,3.0,1,4.515,B,7.15,0-12m,1.0,3.0,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216786,48.807165,3.0,6.0,6.0,0.601,2.0,0,4.584,B,6.95,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214144,48.807171,9.0,9.0,9.0,0.6502,1.0,0,4.775,B,7.76,0-12m,0.6667,9.0,6,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213683,48.807225,3.0,6.0,6.0,0.6303,2.0,0,4.807,B,7.42,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213457,48.807189,3.0,6.0,6.0,0.5468,2.0,0,4.824,B,6.14,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211951,48.807221,8.8,16.3,16.3,0.7665,1.85,0,4.933,B,10.12,12-24m,0.5002,8.8,8,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211334,48.807235,9.0,9.0,9.0,0.6463,1.0,0,4.978,B,7.69,0-12m,0.7778,9.0,7,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210437,48.80728,7.2,7.2,7.2,0.6221,1.0,0,5.042,B,7.28,0-12m,0.6863,7.2,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210292,48.807236,5.1,9.4,9.4,0.5923,1.83,0,5.053,B,6.81,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.233,48.806758,4.9,12.5,12.5,0.7149,2.55,1,3.427,B,8.97,12-24m,0.5887,4.9,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221886,48.806986,5.1,9.4,9.4,0.579,1.83,0,4.219,B,6.61,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.220313,48.807003,3.0,6.0,6.0,0.6384,2.0,0,4.332,B,7.55,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217035,48.807097,5.1,7.2,7.2,0.5967,1.41,0,4.567,B,6.88,0-12m,0.7279,5.1,3,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215659,48.807092,3.0,6.0,6.0,0.5468,2.0,0,4.667,B,6.14,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213864,48.807154,3.0,6.0,6.0,0.6262,2.0,0,4.796,B,7.35,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21317,48.807181,3.0,9.0,9.0,0.6303,3.0,1,4.845,B,7.42,0-12m,1.0,3.0,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212578,48.807192,3.0,6.0,6.0,0.5835,2.0,0,4.888,B,6.68,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.2117,48.807195,3.0,6.0,6.0,0.5835,2.0,0,4.952,B,6.68,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.222326,48.806924,4.3,9.7,9.7,0.6502,2.24,0,4.188,B,7.76,0-12m,0.6406,4.3,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221619,48.806951,3.0,6.0,6.0,0.6053,2.0,0,4.239,B,7.01,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212167,48.807133,6.0,6.0,6.0,0.5835,1.0,0,4.919,B,6.68,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211245,48.807075,8.1,21.2,21.2,0.691,2.62,1,4.987,B,8.5,12-24m,0.5248,8.1,10,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210877,48.807072,9.0,15.0,15.0,0.618,1.67,0,5.013,B,7.22,12-24m,0.6,9.0,9,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.225046,48.806831,3.0,6.0,6.0,0.5562,2.0,0,3.995,B,6.27,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.223194,48.806835,5.1,7.2,7.2,0.7048,1.41,0,4.128,B,8.77,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218252,48.806894,6.0,15.0,15.0,0.5835,2.5,1,4.483,B,6.68,12-24m,0.6,6.0,6,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21675,48.806946,8.1,15.4,15.4,0.579,1.9,0,4.591,B,6.61,12-24m,0.5065,8.1,7,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215246,48.806992,3.0,6.0,6.0,0.5835,2.0,0,4.698,B,6.68,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214552,48.807006,3.0,6.0,6.0,0.6262,2.0,0,4.748,B,7.35,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217878,48.806901,3.0,6.0,6.0,0.5654,2.0,0,4.51,B,6.41,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216891,48.806929,5.1,7.2,7.2,0.6221,1.41,0,4.581,B,7.28,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214999,48.806943,3.0,6.0,6.0,0.6221,2.0,0,4.717,B,7.28,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214344,48.806924,7.2,17.8,17.8,0.7082,2.46,0,4.765,B,8.84,12-24m,0.6266,7.2,9,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211714,48.807047,3.0,6.0,6.0,0.618,2.0,0,4.953,B,7.22,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211582,48.806995,4.3,9.7,9.7,0.6344,2.24,0,4.964,B,7.49,0-12m,0.6406,4.3,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211315,48.806964,5.9,15.4,15.4,0.579,2.6,1,4.984,B,6.61,12-24m,0.5945,5.9,6,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210398,48.807048,9.0,18.0,18.0,0.6424,2.0,0,5.049,B,7.62,12-24m,0.5556,9.0,10,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215588,48.806878,6.0,6.0,6.0,0.601,1.0,0,4.676,B,6.95,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214833,48.806892,3.0,6.0,6.0,0.5923,2.0,0,4.73,B,6.81,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21418,48.806905,3.0,6.0,6.0,0.57,2.0,0,4.777,B,6.48,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213673,48.806896,6.0,12.0,12.0,0.6096,2.0,0,4.814,B,7.08,12-24m,0.625,6.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213242,48.80695,3.0,6.0,6.0,0.5562,2.0,0,4.844,B,6.27,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211905,48.806913,5.8,15.3,15.3,0.698,2.62,1,4.942,B,8.63,12-24m,0.6024,5.8,6,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221527,48.806732,4.3,9.7,9.7,0.5745,2.24,0,4.25,B,6.54,0-12m,0.6406,4.3,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221057,48.806732,3.0,6.0,6.0,0.618,2.0,0,4.284,B,7.22,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.220466,48.806757,3.0,6.0,6.0,0.6221,2.0,0,4.326,B,7.28,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214076,48.806866,5.1,9.4,9.4,0.57,1.83,0,4.786,B,6.48,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211197,48.806908,3.0,6.0,6.0,0.5562,2.0,0,4.993,B,6.27,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211056,48.806951,3.0,6.0,6.0,0.5745,2.0,0,5.003,B,6.54,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.222014,48.806654,7.2,9.4,9.4,0.7214,1.29,0,4.217,B,9.11,0-12m,0.6635,7.2,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221872,48.806676,3.0,7.2,7.2,0.57,2.41,0,4.227,B,6.48,0-12m,0.8284,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221575,48.806614,9.0,15.0,15.0,0.6138,1.67,0,4.249,B,7.15,12-24m,0.6667,9.0,10,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217165,48.806769,6.0,9.0,9.0,0.6096,1.5,0,4.564,B,7.08,0-12m,0.8333,6.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215506,48.806711,9.6,22.7,22.7,0.698,2.37,0,4.685,B,8.63,12-24m,0.4982,9.6,12,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213421,48.806852,3.0,6.0,6.0,0.5373,2.0,0,4.833,B,6.0,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212217,48.806875,3.0,9.0,9.0,0.601,3.0,1,4.92,B,6.95,0-12m,1.0,3.0,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210867,48.806842,7.0,9.7,9.7,0.6221,1.38,0,5.018,B,7.28,0-12m,0.6598,7.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210651,48.806887,5.1,7.2,7.2,0.5967,1.41,0,5.033,B,6.88,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21039,48.806859,9.0,15.0,15.0,0.6803,1.67,0,5.053,B,8.3,12-24m,0.6667,9.0,10,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.243713,48.806212,3.0,6.0,6.0,0.601,2.0,0,2.69,B,6.95,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.238812,48.806267,6.0,6.0,6.0,0.6693,1.0,0,3.03,B,8.09,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.222876,48.806589,7.0,11.0,11.0,0.7116,1.57,0,4.156,B,8.9,0-12m,0.6957,7.0,6,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218786,48.806654,3.0,6.0,6.0,0.6053,2.0,0,4.449,B,7.01,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217055,48.806696,6.0,9.0,9.0,0.601,1.5,0,4.573,B,6.95,0-12m,0.8333,6.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216887,48.806677,5.1,9.4,9.4,0.618,1.83,0,4.586,B,7.22,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216568,48.806702,5.1,7.2,7.2,0.6053,1.41,0,4.609,B,7.01,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.215856,48.80674,6.0,9.0,9.0,0.601,1.5,0,4.659,B,6.95,0-12m,0.8333,6.0,5,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.21401,48.806773,3.0,6.0,6.0,0.6502,2.0,0,4.792,B,7.76,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213703,48.806739,5.1,9.4,9.4,0.618,1.83,0,4.815,B,7.22,0-12m,0.7507,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211701,48.806764,4.3,12.4,12.4,0.6053,2.85,1,4.959,B,7.01,12-24m,0.6692,4.3,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211518,48.806781,3.0,9.0,9.0,0.6803,3.0,1,4.972,B,8.3,0-12m,1.0,3.0,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.24469,48.806139,3.0,6.0,6.0,0.6502,2.0,0,2.625,B,7.76,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.236912,48.806277,3.0,6.0,6.0,0.6424,2.0,0,3.163,B,7.62,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.227296,48.806436,6.0,6.0,6.0,0.698,1.0,0,3.843,B,8.63,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.22495,48.806509,3.0,6.0,6.0,0.5654,2.0,0,4.009,B,6.41,0-12m,1.0,3.0,2,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.222147,48.806567,5.1,7.2,7.2,0.6839,1.41,0,4.209,B,8.36,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216395,48.806646,6.0,6.0,6.0,0.6839,1.0,0,4.622,B,8.36,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210332,48.806763,3.0,6.0,6.0,0.5468,2.0,0,5.059,B,6.14,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.251178,48.805932,3.0,6.0,6.0,0.6875,2.0,0,2.193,B,8.43,0-12m,1.0,3.0,2,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.230725,48.806356,3.0,6.0,6.0,0.5562,2.0,0,3.6,B,6.27,0-12m,1.0,3.0,2,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.229425,48.806373,5.1,7.2,7.2,0.7014,1.41,0,3.692,B,8.7,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218395,48.806594,3.0,6.0,6.0,0.5835,2.0,0,4.479,B,6.68,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216508,48.806586,5.1,7.2,7.2,0.5654,1.41,0,4.615,B,6.41,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216075,48.80663,5.1,7.2,7.2,0.6803,1.41,0,4.646,B,8.3,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214107,48.80665,3.0,6.0,6.0,0.6303,2.0,0,4.787,B,7.42,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212005,48.806704,3.0,6.0,6.0,0.5373,2.0,0,4.938,B,6.0,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.211138,48.806724,6.0,15.0,15.0,0.7182,2.5,1,5.001,B,9.04,12-24m,0.8,6.0,8,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210984,48.80671,3.0,9.0,9.0,0.6303,3.0,1,5.012,B,7.42,0-12m,1.0,3.0,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210725,48.806715,4.3,9.7,9.7,0.5654,2.24,0,5.031,B,6.41,0-12m,0.6406,4.3,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.227323,48.806348,6.0,9.0,9.0,0.6424,1.5,0,3.843,B,7.62,0-12m,0.6667,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.22231,48.806418,4.9,12.5,12.5,0.7182,2.55,1,4.201,B,9.04,12-24m,0.5887,4.9,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.220924,48.806478,6.0,6.0,6.0,0.6693,1.0,0,4.299,B,8.09,0-12m,1.0,6.0,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217437,48.806509,7.2,15.7,15.7,0.6803,2.17,0,4.55,B,8.3,12-24m,0.5531,7.2,7,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.214778,48.806563,5.1,11.5,11.5,0.5967,2.24,0,4.741,B,6.88,0-12m,0.612,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.213322,48.806593,5.1,7.2,7.2,0.5923,1.41,0,4.845,B,6.81,0-12m,0.7279,5.1,3,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212964,48.806614,9.4,11.5,11.5,0.691,1.23,0,4.871,B,8.5,0-12m,0.5858,9.4,7,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.212613,48.806582,10.6,12.5,12.5,0.6138,1.18,0,4.897,B,7.15,12-24m,0.4764,10.6,7,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.223023,48.806357,3.0,6.0,6.0,0.5923,2.0,0,4.151,B,6.81,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.222514,48.806407,3.0,6.0,6.0,0.5967,2.0,0,4.186,B,6.88,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.221942,48.806418,3.0,6.0,6.0,0.6766,2.0,0,4.227,B,8.23,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.218614,48.806469,3.0,6.0,6.0,0.579,2.0,0,4.466,B,6.61,0-12m,1.0,3.0,2,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217715,48.806466,5.1,11.5,11.5,0.6344,2.24,0,4.531,B,7.49,0-12m,0.612,5.1,4,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.217116,48.806475,5.1,7.2,7.2,0.6138,1.41,0,4.574,B,7.15,0-12m,0.7279,5.1,3,1,1
