scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.329991,48.854112,41.9,66.1,66.1,0.9987,1.58,0,5.841,B,36.66,>24m,0.673,41.9,207,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316593,48.854581,3.0,7.2,7.2,0.5707,2.41,0,5.299,B,6.49,0-12m,0.8284,3.0,2,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.337735,48.854073,3.0,6.0,6.0,0.5794,2.0,0,6.222,B,6.62,0-12m,1.0,3.0,2,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.331513,48.85398,21.0,33.0,33.0,0.9938,1.57,0,5.903,B,28.9,>24m,0.7143,21.0,55,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.306159,48.85381,41.1,63.7,63.7,0.9953,1.55,0,4.857,B,30.27,>24m,0.6295,41.1,183,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.332005,48.853366,8.4,21.8,21.8,0.6427,2.6,1,5.876,B,7.63,12-24m,0.642,8.4,13,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.346138,48.852842,27.0,30.0,30.0,0.9866,1.11,0,6.579,B,24.98,>24m,0.7,27.0,63,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.331139,48.853239,5.1,7.2,7.2,0.6517,1.41,0,5.823,B,7.78,0-12m,0.7279,5.1,3,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.330904,48.853179,5.1,11.5,11.5,0.6929,2.24,0,5.807,B,8.53,0-12m,0.612,5.1,4,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.253264,48.85473,3.0,6.0,6.0,0.5475,2.0,0,4.867,B,6.15,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.34619,48.852498,3.0,7.2,7.2,0.5529,2.41,0,6.557,B,6.23,0-12m,0.8284,3.0,2,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.346052,48.852221,15.0,15.0,15.0,0.9575,1.0,0,6.53,B,19.15,12-24m,0.72,15.0,18,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.282371,48.853509,3.0,6.0,6.0,0.7214,2.0,0,4.382,B,9.11,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.345759,48.852018,18.0,30.0,30.0,0.9856,1.67,0,6.499,B,24.62,>24m,0.8167,18.0,49,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.333502,48.852276,9.7,19.1,19.1,0.8201,1.97,0,5.862,B,11.57,12-24m,0.5339,9.7,11,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.318404,48.852497,15.0,24.0,24.0,0.9524,1.6,0,5.178,B,18.57,>24m,0.75,15.0,30,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.333883,48.852149,9.0,18.0,18.0,0.7841,2.0,0,5.872,B,10.56,12-24m,0.8333,9.0,15,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.318884,48.852291,32.1,58.8,58.8,0.9987,1.83,0,5.18,B,36.68,>24m,0.6291,32.1,132,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.316405,48.852434,28.6,37.2,37.2,0.9957,1.3,0,5.091,B,30.74,>24m,0.7365,28.6,87,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.314269,48.852522,3.0,6.0,6.0,0.5529,2.0,0,5.014,B,6.23,0-12m,1.0,3.0,2,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.328428,48.851815,40.5,85.0,85.0,0.999,2.1,0,5.573,B,38.11,>24m,0.6461,40.5,247,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.32894,48.851835,3.0,6.0,6.0,0.5845,2.0,0,5.599,B,6.69,0-12m,1.0,3.0,2,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.333507,48.851401,5.1,7.2,7.2,0.6192,1.41,0,5.793,B,7.24,0-12m,0.7279,5.1,3,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.331848,48.850319,4.3,9.7,9.7,0.5637,2.24,0,5.622,B,6.38,0-12m,0.6406,4.3,3,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.331512,48.850114,7.2,11.5,11.5,0.5724,1.59,0,5.588,B,6.51,0-12m,0.6492,7.2,6,4,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.328176,48.849685,20.0,53.9,53.9,0.8744,2.7,1,5.385,B,13.52,>24m,0.5935,20.0,71,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.328813,48.849544,7.2,11.5,11.5,0.78,1.59,0,5.405,B,10.45,0-12m,0.7574,7.2,7,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.274834,48.850554,3.0,6.0,6.0,0.5637,2.0,0,4.051,B,6.38,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.275995,48.850451,3.0,7.2,7.2,0.5879,2.41,0,4.035,B,6.74,0-12m,0.8284,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.274871,48.850473,3.0,6.0,6.0,0.5947,2.0,0,4.042,B,6.85,0-12m,1.0,3.0,2,1,1
