#Hydrophone calibration sensitivities. This file contains three header lines followed by comma delimited data. First column is the centre frequency of each bin (Hz). Second column is the sensitivity calibration for each bin (dB re Counts^2/uPa^2).
#The maximum frequency included in this sensitivity file is equal to 0.4 times the sampling frequency for this hydrophone, which is the maximum usable frequency unaffected by the recording system's anti-aliasing filter in accordance with ISO 7605:2025.
#Data is from device attributes: https://data.oceannetworks.ca/DeviceListing?DeviceId=23235. Applicable for deviceID 23235 from 18-Feb-2020 (ongoing). Device attribute HydrophonePreDeploymentSensitivityValuesPart1 last modified: 11-May-2026 08:43:41
2930, -39.5409
2940, -39.5408
2950, -39.5407
2960, -39.5406
2970, -39.5405
2980, -39.5404
2990, -39.5403
3000, -39.5402
3010, -39.5401
3020, -39.54
3030, -39.5399
3040, -39.5398
3050, -39.5397
3060, -39.5396
3070, -39.5395
3080, -39.5394
3090, -39.5393
3100, -39.5392
3110, -39.5391
3120, -39.539
3130, -39.5389
3140, -39.5388
3150, -39.5387
3160, -39.5386
3170, -39.5385
3180, -39.5384
3190, -39.5383
3200, -39.5382
3210, -39.5381
3220, -39.538
3230, -39.5379
3240, -39.5378
3250, -39.5377
3260, -39.5376
3270, -39.5375
3280, -39.5374
3290, -39.5373
3300, -39.5372
3310, -39.5371
3320, -39.537
3330, -39.5369
3340, -39.5368
3350, -39.5367
3360, -39.5366
3370, -39.5365
3380, -39.5364
3390, -39.5363
3400, -39.5362
3410, -39.5361
3420, -39.536
3430, -39.5359
3440, -39.5358
3450, -39.5357
3460, -39.5356
3470, -39.5355
3480, -39.5354
3490, -39.5353
3500, -39.5352
3510, -39.5351
3520, -39.535
3530, -39.5349
3540, -39.5348
3550, -39.5347
3560, -39.5346
3570, -39.5345
3580, -39.5344
3590, -39.5343
3600, -39.5342
3610, -39.5341
3620, -39.534
3630, -39.5339
3640, -39.5338
3650, -39.5337
3660, -39.5336
3670, -39.5335
3680, -39.5334
3690, -39.5333
3700, -39.5332
3710, -39.5331
3720, -39.533
3730, -39.5329
3740, -39.5328
3750, -39.5327
3760, -39.5326
3770, -39.5325
3780, -39.5324
3790, -39.5323
3800, -39.5322
3810, -39.5321
3820, -39.532
3830, -39.5319
3840, -39.5318
3850, -39.5317
3860, -39.5316
3870, -39.5315
3880, -39.5314
3890, -39.5313
3900, -39.5312
3910, -39.5311
3920, -39.531
3930, -39.5309
3940, -39.5308
3950, -39.5307
3960, -39.5306
3970, -39.5305
3980, -39.5304
3990, -39.5303
4000, -39.5302
4010, -39.5301
4020, -39.53
4030, -39.5299
4040, -39.5298
4050, -39.5297
4060, -39.5296
4070, -39.5295
4080, -39.5294
4090, -39.5293
4100, -39.5292
4110, -39.5291
4120, -39.529
4130, -39.5289
4140, -39.5288
4150, -39.5287
4160, -39.5286
4170, -39.5285
4180, -39.5284
4190, -39.5283
4200, -39.5282
4210, -39.5281
4220, -39.528
4230, -39.5279
4240, -39.5278
4250, -39.5277
4260, -39.5276
4270, -39.5275
4280, -39.5274
4290, -39.5273
4300, -39.5272
4310, -39.5271
4320, -39.527
4330, -39.5269
4340, -39.5268
4350, -39.5267
4360, -39.5266
4370, -39.5265
4380, -39.5264
